participant_id,age,gender,employment_status,city_tier,monthly_income,FL1,FL2,FL3,FL4,FL5,IB1,IB2,IB3,IB4,IB5,SS1,SS2,SS3,SS4,SD1,SD2,SD3,SD4,SD5,BH1,BH2,BH3,BH4,essential_expenses,discretionary_expenses,monthly_savings,debt_payment,total_expenses,savings_rate,expense_to_income_ratio,financial_literacy_score,impulse_buying_score,stress_spending_score,saving_discipline_score,budgeting_habit_score
FB0001,20,Male,Student,Tier 2,81535.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,25441.0,3347.0,27331.0,0.0,28788.0,0.335,0.353,4.0,1.6,3.25,3.6,4.0
FB0002,23,Female,Full-time Employee,Tier 3,120000.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,36150.0,15816.0,3532.0,3235.0,55201.0,0.029,0.46,3.4,2.6,2.25,1.2,1.75
FB0003,34,Male,Student,Tier 2,108493.0,3.0,2.0,1.0,3.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,40645.0,39525.0,4572.0,14471.0,94641.0,0.042,0.872,2.2,4.6,4.75,2.4,2.0
FB0004,19,Male,Student,Tier 1,120000.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,65340.0,7931.0,38228.0,4739.0,78010.0,0.319,0.65,3.2,2.0,2.25,3.8,3.5
FB0005,24,Female,Student,Tier 1,118834.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,44645.0,16100.0,25515.0,4440.0,65185.0,0.215,0.549,3.4,2.6,3.5,2.8,3.25
FB0006,35,Female,Full-time Employee,Tier 3,120000.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,27352.0,9928.0,10986.0,2151.0,39431.0,0.092,0.329,1.8,3.4,1.5,2.6,1.75
FB0007,20,Male,Intern,Tier 1,120000.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,27098.0,14939.0,20882.0,4897.0,46934.0,0.174,0.391,3.4,2.6,3.5,2.6,4.25
FB0008,32,Male,Full-time Employee,Tier 2,120000.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,62292.0,13310.0,43571.0,0.0,75602.0,0.363,0.63,3.2,2.4,1.75,4.8,4.0
FB0009,25,Male,Full-time Employee,Tier 2,120000.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,3.0,4.0,3.0,45384.0,24309.0,25506.0,6872.0,76565.0,0.213,0.638,4.2,4.0,2.75,3.2,3.3333333333333335
FB0010,29,Male,Student,Tier 1,120000.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,55427.0,12517.0,42547.0,5388.0,73332.0,0.355,0.611,4.2,2.6,2.75,5.0,3.0
